file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
C:\User\balu\Projects\spring-boot\buildSrc\src\main\java\org\springframework\boot\build\context\properties\CheckAdditionalSpringConfigurationMetadata.java,org.springframework.boot.build.context.properties.CheckAdditionalSpringConfigurationMetadata$Report,innerclass,1,1,0,1,7,1,0,6,0,0,NaN,NaN,3,0,1,2,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,31,4,2,0,0,0,3,0,3,0,3,2,0,0,0,13,26,0
C:\User\balu\Projects\spring-boot\spring-boot-project\spring-boot-autoconfigure\src\main\java\org\springframework\boot\autoconfigure\data\redis\RedisProperties.java,org.springframework.boot.autoconfigure.data.redis.RedisProperties$Cluster,innerclass,0,0,0,0,4,1,0,0,2,0.5,0.33333334,0.33333334,4,0,4,0,0,0,4,0,0,0,2,0,0,2,0,0,0,0,0,16,2,0,0,0,0,0,0,2,0,2,0,0,0,0,36,9,0
C:\User\balu\Projects\spring-boot\spring-boot-project\spring-boot-autoconfigure\src\test\java\org\springframework\boot\autoconfigure\rsocket\RSocketStrategiesAutoConfigurationTests.java,org.springframework.boot.autoconfigure.rsocket.RSocketStrategiesAutoConfigurationTests,class,16,16,0,16,3,1,0,15,0,0,1,1,3,0,0,0,0,3,3,0,0,0,1,0,0,1,0,0,1,0,0,43,0,0,0,0,0,1,3,3,0,6,1,0,4,3,22,0,0
C:\User\balu\Projects\spring-boot\spring-boot-project\spring-boot-autoconfigure\src\main\java\org\springframework\boot\autoconfigure\flyway\NativeImageResourceProviderCustomizer.java,org.springframework.boot.autoconfigure.flyway.NativeImageResourceProviderCustomizer,class,7,8,1,7,2,2,0,7,0,0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,9,0,0,1,0,0,0,0,2,0,2,1,0,0,0,22,0,0
C:\User\balu\Projects\spring-boot\spring-boot-project\spring-boot-autoconfigure\src\test\java\org\springframework\boot\autoconfigure\flyway\FlywayAutoConfigurationTests.java,org.springframework.boot.autoconfigure.flyway.FlywayAutoConfigurationTests$FlywayJavaMigrationsConfiguration,innerclass,3,3,0,3,2,1,0,0,1,0,0,0,2,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,8,2,0,0,0,0,4,0,0,0,0,0,0,0,0,12,8,0
C:\User\balu\Projects\spring-boot\spring-boot-project\spring-boot-actuator\src\test\java\org\springframework\boot\actuate\endpoint\jmx\annotation\JmxEndpointDiscovererTests.java,org.springframework.boot.actuate.endpoint.jmx.annotation.JmxEndpointDiscovererTests$InvalidJmxExtensionConfiguration,innerclass,4,4,0,4,2,1,0,0,1,0,0,0,2,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,8,2,0,0,0,0,0,0,0,0,0,0,0,0,0,11,8,0
C:\User\balu\Projects\spring-boot\spring-boot-project\spring-boot-actuator\src\main\java\org\springframework\boot\actuate\web\exchanges\HttpExchange.java,org.springframework.boot.actuate.web.exchanges.HttpExchange$Response,innerclass,4,4,0,4,5,1,0,6,0,0.3,0.6666667,1,5,0,3,2,0,0,3,0,0,0,2,0,0,2,0,0,2,0,2,23,3,0,0,0,0,0,0,5,0,3,0,0,0,0,33,25,0
C:\User\balu\Projects\spring-boot\spring-boot-project\spring-boot-actuator-autoconfigure\src\test\java\org\springframework\boot\actuate\autoconfigure\observation\ObservationRegistryConfigurerIntegrationTests.java,org.springframework.boot.actuate.autoconfigure.observation.ObservationRegistryConfigurerIntegrationTests$Customizer2,innerclass,3,3,0,3,2,1,0,1,0,0,1,1,2,0,1,0,0,1,2,0,0,0,1,0,0,1,0,0,1,0,0,9,0,0,0,0,0,0,0,1,0,1,0,0,0,0,8,10,0
C:\User\balu\Projects\spring-boot\spring-boot-project\spring-boot-autoconfigure\src\test\java\org\springframework\boot\autoconfigure\web\reactive\ReactiveWebServerFactoryAutoConfigurationTests.java,org.springframework.boot.autoconfigure.web.reactive.ReactiveWebServerFactoryAutoConfigurationTests$TomcatProtocolHandlerCustomizerConfiguration,innerclass,3,3,0,3,1,1,0,1,0,0,NaN,NaN,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,11,8,0
C:\User\balu\Projects\spring-boot\spring-boot-project\spring-boot-actuator-autoconfigure\src\test\java\org\springframework\boot\actuate\autoconfigure\observation\ObservationRegistryConfigurerIntegrationTests.java,org.springframework.boot.actuate.autoconfigure.observation.ObservationRegistryConfigurerIntegrationTests$Customizer1,innerclass,3,3,0,3,2,1,0,1,0,0,1,1,2,0,1,0,0,1,2,0,0,0,1,0,0,1,0,0,1,0,0,9,0,0,0,0,0,0,0,1,0,1,0,0,0,0,8,10,0
